# U0 [m]	V0 [m]	Ecart [m]	Altitude [m]
-385.6462234	223.8465691	1.052243121	98.6
-386.1279284	224.7361565	1.01163502	98.6
-386.6096398	225.514549	0.915391001	98.6
-387.1716373	226.4041411	1.052243005	98.6
-387.653342	227.2937285	1.011634933	98.5
-388.2153457	228.0721258	0.960078384	98.6
-388.6970501	228.9617134	1.011634875	98.6
-389.259047	229.8513057	1.05224285	98.6
-389.8210504	230.6297031	0.960078258	98.6
-390.3027543	231.5192907	1.011634786	98.6
-390.8647574	232.2976882	0.960078175	98.6
-391.3464611	233.187276	1.011634729	98.6
-391.9084574	234.0768685	1.052242659	98.6
-392.3901674	234.8552614	0.915390643	98.6
-392.9521633	235.744854	1.052242584	98.6
-393.4338665	236.6344419	1.01163461	98.6
-393.9958688	237.4128396	0.960077922	98.6
-394.4775717	238.3024276	1.011634552	98.6
-395.0395671	239.1920204	1.052242428	98.6
-395.5212764	239.9704135	0.915390448	98.6
-396.0832715	240.8600064	1.052242354	98.6
-396.5649805	241.6383995	0.915390384	98.6
-397.1269754	242.5279925	1.052242278	98.6
-397.6086775	243.4175807	1.011634375	98.6
-398.1706787	244.1959788	0.960077586	98.6
-398.6523806	245.0855671	1.011634319	98.6
-399.2143748	245.9751602	1.052242121	98.6
-399.6960831	246.7535536	0.91539019	98.6
-400.0974854	247.7543321	1.078277038	98.6
-400.3383094	248.643906	0.921595301	98.6
-400.5791265	249.6446749	1.029335309	98.5
-400.7396511	250.6454389	1.013556493	98.5
-400.9804682	251.6462077	1.029335293	98.5
-401.2212918	252.5357817	0.921595263	98.5
-401.4621087	253.5365505	1.029335276	98.4
-401.7029255	254.5373194	1.029335269	98.4
-401.943749	255.4268934	0.921595234	98.4
-402.1845657	256.4276623	1.029335252	98.3
-402.4253823	257.4284312	1.029335244	98.3
-402.6662055	258.3180052	0.921595208	98.3
-402.907022	259.3187741	1.029335229	98.2
-403.1478384	260.3195431	1.029335218	98.2
-403.3886547	261.320312	1.02933521	98.2
-403.6294777	262.209886	0.921595172	98.2
-403.8702938	263.210655	1.029335194	98.1
-404.1111099	264.211424	1.029335187	98.1
-404.3519327	265.100998	0.921595143	98.1
-404.3518719	266.1017523	1.000754339	98
-404.351811	267.1025067	1.00075434	98
-404.3517502	268.103261	1.000754338	98
-404.3516893	269.1040154	1.000754339	97.9
-404.3516285	270.1047697	1.000754339	97.9
-404.3515676	271.105524	1.000754339	97.9
-404.3515067	272.1062784	1.000754339	97.8
-404.3514459	273.1070327	1.000754339	97.8
-404.2710929	274.1077822	1.00397016	97.8
-404.271032	275.1085365	1.000754338	97.7
-404.2709712	276.1092908	1.000754339	97.7
-404.2709104	277.1100452	1.000754339	97.7
-404.2708495	278.1107995	1.000754339	97.6
-404.2707887	279.1115538	1.00075434	97.6
-404.2707278	280.1123082	1.000754338	97.6
-404.1903749	281.1130576	1.003970153	97.5
-403.8691458	282.1137925	1.051027281	97.5
-403.6282088	283.1145322	1.029335026	97.5
-403.3872786	284.004077	0.921594968	97.4
-403.1463418	285.0048167	1.02933501	97.4
-402.825113	286.0055516	1.051027224	97.4
-402.5841831	286.8950964	0.921594938	97.4
-402.3432465	287.8958362	1.029334987	97.3
-402.1023099	288.8965759	1.029334978	97.3
-401.7810882	289.7861159	0.945761496	97.3
-401.5401518	290.7868557	1.029334962	97.2
-401.2992155	291.7875955	1.029334954	97.2
-401.058286	292.6771404	0.921594884	97.2
-400.7370579	293.6778754	1.051027111	97.1
-400.4961285	294.5674203	0.921594866	97.1
-400.2551925	295.5681601	1.029334921	97.1
-399.7733875	296.4576905	1.011632549	97
-399.2915827	297.347221	1.011632517	97
-398.7294928	298.1255518	0.960074921	97
-398.1673963	299.0150775	1.052239729	97
-397.6053067	299.7934084	0.960074837	97
-397.1235024	300.682939	1.011632403	97
-396.561413	301.4612699	0.960074754	97
-395.9993171	302.3507958	1.052239578	97
-395.5175198	303.1291317	0.915388043	97
-394.9554242	304.0186577	1.052239503	97
-394.3933288	304.9081837	1.052239463	97
-393.8312401	305.6865149	0.960074546	97
-393.3494367	306.5760458	1.0116322	97
-392.7873483	307.3543771	0.960074463	97
-392.2252534	308.2439033	1.052239313	97
-391.743457	309.0222394	0.915387818	97
-391.1813624	309.9117657	1.052239237	97
-390.4586976	310.5788928	0.983515647	97
-389.7360329	311.24602	0.983515594	97
-389.0133683	311.9131472	0.98351554	97
-388.2906974	312.6914695	1.062091691	97
-387.5680332	313.3585969	0.983515425	97
-386.845369	314.0257243	0.983515372	97
-386.1227051	314.6928519	0.983515318	97
-385.4000413	315.3599795	0.983515266	97
-384.6773712	316.1383022	1.062091435	97
-383.9547077	316.80543	0.98351515	97
-383.2320443	317.4725579	0.983515097	97
-382.5093811	318.1396858	0.983515044	97
-381.786718	318.8068139	0.98351499	97
-381.0640487	319.5851369	1.06209118	97
-380.3413859	320.2522651	0.983514875	97
-379.6187233	320.9193933	0.983514821	97
-378.8960608	321.5865217	0.983514768	97
-378.1733984	322.2536501	0.983514716	97
-377.4507362	322.9207786	0.983514662	96.9
-376.6477826	323.5879027	1.043929596	96.9
